epoch,accuracy,auc,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall,learning_rate
1,0.8428226113319397,0.520355224609375,0.444348007440567,0.13697604835033417,0.04277810826897621,0.8934604525566101,0.5284264087677002,0.35238388180732727,0.0,0.0,0.0010000000474974513
2,0.8717916011810303,0.5227900147438049,0.4016338586807251,0.20930232107639313,0.0002337601617909968,0.8934604525566101,0.5294821858406067,0.34673428535461426,0.0,0.0,0.0010000000474974513
3,0.8718582391738892,0.5316869020462036,0.3942435085773468,0.1428571492433548,2.5973351512220688e-05,0.8934604525566101,0.5346728563308716,0.3436374366283417,0.0,0.0,0.0010000000474974513
4,0.8718714714050293,0.5405375361442566,0.3898906111717224,0.0,0.0,0.8934604525566101,0.5394899249076843,0.3411441743373871,0.0,0.0,0.0010000000474974513
5,0.8718748688697815,0.5525921583175659,0.38587504625320435,0.0,0.0,0.8934604525566101,0.545947790145874,0.3394332230091095,0.0,0.0,0.0010000000474974513
6,0.8718748688697815,0.5581035614013672,0.38412976264953613,0.0,0.0,0.8934903740882874,0.5488288402557373,0.3388005495071411,1.0,0.0002810567675624043,0.0010000000474974513
7,0.8718847632408142,0.5722195506095886,0.38110092282295227,1.0,7.792005635565147e-05,0.8935801386833191,0.550498366355896,0.3389246463775635,1.0,0.001124227070249617,0.0010000000474974513
8,0.8718814849853516,0.5791162252426147,0.37950530648231506,0.6000000238418579,0.00015584011271130294,0.8936999440193176,0.55428147315979,0.3387927711009979,0.75,0.003372681327164173,0.0010000000474974513
9,0.8719713687896729,0.5905566811561584,0.37732985615730286,0.9142857193946838,0.000831147248391062,0.8937298655509949,0.5567013621330261,0.33922290802001953,0.6451612710952759,0.005621135700494051,0.0010000000474974513
10,0.8720113635063171,0.6005148887634277,0.37536510825157166,0.7303370833396912,0.0016882678028196096,0.8933705687522888,0.5581357479095459,0.3401471972465515,0.47999998927116394,0.01011804398149252,0.0005000000237487257
11,0.8722209334373474,0.6153172254562378,0.3724319636821747,0.7363636493682861,0.00420768279582262,0.8938795924186707,0.5511032342910767,0.33887773752212524,0.7692307829856873,0.005621135700494051,0.0005000000237487257
12,0.8720977902412415,0.6247619986534119,0.37053343653678894,0.6717948913574219,0.0034025090280920267,0.8938797116279602,0.5537234544754028,0.33907297253608704,0.6944444179534912,0.007026419509202242,0.0005000000237487257
13,0.8722076416015625,0.6296359896659851,0.36951133608818054,0.738095223903656,0.004025869537144899,0.8938496708869934,0.5535790920257568,0.3391016721725464,0.7096773982048035,0.006183248944580555,0.0005000000237487257
14,0.8722608685493469,0.6364327669143677,0.36805516481399536,0.6790123581886292,0.005714137107133865,0.8939095735549927,0.553579568862915,0.3395061194896698,0.7027027010917664,0.00730747589841485,0.0002500000118743628
15,0.8723472952842712,0.6400429606437683,0.36685314774513245,0.6775000095367432,0.007038778159767389,0.8939095735549927,0.5495657324790955,0.33908575773239136,0.7777777910232544,0.005902192089706659,0.0002500000118743628
16,0.8723108172416687,0.646550178527832,0.3656880855560303,0.6943620443344116,0.006077764090150595,0.8938496708869934,0.5493544340133667,0.3391675353050232,0.7599999904632568,0.005340078845620155,0.0002500000118743628
17,0.8722342252731323,0.6498129963874817,0.3649515211582184,0.6636363863945007,0.005688163917511702,0.8938795924186707,0.5488393902778625,0.33963894844055176,0.7692307829856873,0.005621135700494051,0.0002500000118743628
18,0.8724605441093445,0.6531487107276917,0.3640070855617523,0.7065727710723877,0.007817978970706463,0.8939095735549927,0.5479893088340759,0.33990588784217834,0.7777777910232544,0.005902192089706659,0.0001250000059371814
