experiment_name,input_window,output_window,pt_mult,sl_mult,kernel_size,epochs_run,batch_size,n_params,best_epoch,best_val_loss,train_accuracy,train_balanced_accuracy,train_macro_f1,train_weighted_f1,val_accuracy,val_balanced_accuracy,val_macro_f1,val_weighted_f1,test_accuracy,test_balanced_accuracy,test_macro_f1,test_weighted_f1
cnn_tb_iw_90_ow_90_pt_4_sl_4,90,90,4.0,4.0,3,106,64,17093,76,0.866273820400238,0.5810920043334038,0.6204214170427321,0.4861729026017403,0.5968569494629494,0.49995474157438974,0.36310362418881387,0.3137379500648744,0.466021661867512,0.5028922141053146,0.4014069155173769,0.38830705302743135,0.5045710904774485
cnn_tb_iw_90_ow_30_pt_4_sl_4,90,30,4.0,4.0,3,41,64,17093,11,1.0876381397247314,0.3758503855972413,0.3843750079997357,0.3539889303001625,0.3520619055399474,0.37741295327440016,0.3693687032893687,0.33789084732229674,0.3497955633381099,0.3776683531289738,0.38650343312476676,0.375189083976253,0.3707362388172384
cnn_tb_iw_30_ow_90_pt_4_sl_4,30,90,4.0,4.0,3,105,64,17093,75,0.8540464639663696,0.6205074914126091,0.698025318199154,0.513382993881511,0.6357709274410133,0.4938360695171087,0.3353465314245698,0.3358016478883447,0.4973239523993465,0.48126403506398635,0.37960580026917895,0.3702496962049863,0.4850926949677155
cnn_tb_iw_10_ow_30_pt_4_sl_4,10,30,4.0,4.0,3,36,64,17093,6,1.0965813398361206,0.36752213478028134,0.39515883591202283,0.3594676901437401,0.34772540503903343,0.3458810856099823,0.3560812615580999,0.33444913605883314,0.3328428714890263,0.3631175124512047,0.3827366547068922,0.35478654732993725,0.3445086489779278
cnn_tb_iw_10_ow_90_pt_4_sl_4,10,90,4.0,4.0,3,71,64,17093,41,0.8673962950706482,0.5307097756003791,0.6189651435120657,0.45264537206178185,0.5392398597097593,0.47630915205380736,0.3503390305106225,0.3411674631260935,0.48559637081227663,0.4471316237468587,0.3666975967509846,0.337552288225565,0.44440429065432724
cnn_tb_iw_30_ow_5_pt_4_sl_4,30,5,4.0,4.0,3,32,64,17093,2,1.0231159925460815,0.7316951569318926,0.3528991118851421,0.33507193782263406,0.7641072009031493,0.7327013934573291,0.3335054618721121,0.3258809362210597,0.7677606504686624,0.742468703728631,0.3467464069173622,0.33403761209946453,0.77631173706044
cnn_tb_iw_5_ow_90_pt_4_sl_4,5,90,4.0,4.0,3,116,64,17093,86,0.9157596230506897,0.5176955721034511,0.6446714752433688,0.4510218259680094,0.5324247725044933,0.4522759324271612,0.3432361315380534,0.32632261742247826,0.46935188557211854,0.435269003161564,0.3478082404076172,0.3311851480326166,0.45062359709914634
cnn_tb_iw_5_ow_30_pt_4_sl_4,5,30,4.0,4.0,3,39,64,17093,9,1.1027817726135254,0.3712088226202624,0.39997987622773606,0.3680882475356923,0.35917501602134155,0.3341008312899946,0.35127128745123737,0.3326023931577659,0.32889617752758016,0.3394804145914659,0.3614684453057391,0.3281519226343997,0.3174733461077748
cnn_tb_iw_30_ow_30_pt_4_sl_4,30,30,4.0,4.0,3,36,64,17093,6,1.0948132276535034,0.3621313003528863,0.3908391157828923,0.32822505492996334,0.30921181632213723,0.3400407234399329,0.3503635556559706,0.28784724061446565,0.2852169557546865,0.35184236771880645,0.3773822156687492,0.3199691905442353,0.3018316752253805
cnn_tb_iw_5_ow_5_pt_4_sl_4,5,5,4.0,4.0,3,51,64,17093,21,0.947766900062561,0.5690936304231672,0.5627439035990048,0.3814002264286602,0.6521534787150624,0.549599856665074,0.34872695064611897,0.2967515476357135,0.6471853133639567,0.5598968130273553,0.36448548968567623,0.3053779438920646,0.6560321456021261
cnn_tb_iw_10_ow_5_pt_4_sl_4,10,5,4.0,4.0,3,83,64,17093,53,0.8898469805717468,0.5898795276714548,0.6484114487359864,0.41563143961028065,0.6685182116650648,0.5709806497849976,0.3740673834581183,0.31506820678700487,0.6623385241907044,0.5853566723131941,0.34139986267369166,0.3040471618474111,0.6759096351820698
cnn_tb_iw_90_ow_5_pt_4_sl_4,90,5,4.0,4.0,3,53,64,17093,23,1.0081590414047241,0.502011770357915,0.43238214400674696,0.31405001192408916,0.6030203099231926,0.44537462117802384,0.3587099540951042,0.262038119211461,0.5567856163725106,0.5013105628664847,0.3445144346689133,0.2766211978483141,0.6088378926182655
