epoch,loss_train_norm,loss_val_norm,mae_train_real,mae_val_real
1,0.6984726190567017,0.6827895641326904,0.01160909387850561,0.011407012849320351
2,0.6928719878196716,0.6808376908302307,0.011577547621255147,0.011375086613639151
3,0.6918678283691406,0.6803496479988098,0.011569548531118823,0.0113674012717378
4,0.691498339176178,0.680023729801178,0.011564586610036974,0.01136222562340172
5,0.6912195682525635,0.6797946095466614,0.011560815534823944,0.01135858595822743
6,0.6910381317138672,0.6796498894691467,0.011558503699420832,0.011356223255329955
7,0.6909244656562805,0.6795552372932434,0.011556915101412395,0.011354630800235386
8,0.6908561587333679,0.6795077919960022,0.011556118407849765,0.011353871877226208
9,0.6908174157142639,0.679478108882904,0.011555578118555279,0.011353420877433948
10,0.6907929182052612,0.6794509887695312,0.01155530595540765,0.01135297936751694
11,0.6907789707183838,0.6794285774230957,0.01155512062053234,0.01135261444913104
12,0.6907686591148376,0.6794137358665466,0.011554967911886751,0.011352365153754493
13,0.69076007604599,0.6794004440307617,0.01155483179836943,0.011352146247506727
14,0.6907521486282349,0.6793877482414246,0.011554697214859402,0.011351938596886395
15,0.6907436847686768,0.6793830990791321,0.011554583249180987,0.011351854520207982
16,0.6907371878623962,0.679381251335144,0.011554486871725476,0.01135182030214784
17,0.6907326579093933,0.6793791651725769,0.011554396221813763,0.011351773471163316
18,0.6907277703285217,0.6793784499168396,0.011554316454847419,0.011351753653548126
19,0.6907217502593994,0.6793814897537231,0.011554217271317993,0.011351797747587048
20,0.6907171010971069,0.6793839931488037,0.011554122665715412,0.011351828952872194
21,0.6907119154930115,0.6793854832649231,0.011554024575641808,0.011351843716426792
22,0.6907061338424683,0.6793854236602783,0.011553937416035432,0.011351834873854437
23,0.6907006502151489,0.6793859004974365,0.011553851752523199,0.011351838136105344
24,0.6906951665878296,0.6793867349624634,0.011553714856771508,0.01135183578647224
25,0.69068843126297,0.6793927550315857,0.011553608830863817,0.011351927789042406
26,0.6906809210777283,0.6793918013572693,0.011553471321812035,0.01135190208733281
27,0.690674901008606,0.679394543170929,0.01155336337346251,0.01135194408483798
28,0.6906679272651672,0.6793954372406006,0.011553257791554325,0.011351960318181167
29,0.6906630396842957,0.679397702217102,0.01155315274129699,0.01135198129287191
30,0.6906561851501465,0.6793976426124573,0.011553029835176677,0.011351968055543045
31,0.6906487345695496,0.6793974041938782,0.011552921469246758,0.01135195704181965
32,0.6906434297561646,0.6793978810310364,0.011552820196152972,0.011351957618602996
33,0.6906360387802124,0.6793993711471558,0.011552688091327434,0.011351974748225933
34,0.6906296014785767,0.6793983578681946,0.011552514991835919,0.011351943638171777
35,0.6906213760375977,0.679404079914093,0.011552385252994126,0.01135203822138319
36,0.6906132698059082,0.6794127821922302,0.011552206401490125,0.011352169506844067
37,0.6906037926673889,0.6794191598892212,0.011552025602100219,0.011352280872628745
38,0.6905950903892517,0.6794248819351196,0.011551869977862447,0.011352362874663733
39,0.6905852556228638,0.6794406175613403,0.011551672787244694,0.011352622440235514
40,0.6905744671821594,0.6794580221176147,0.01155147231143641,0.011352907132476494
41,0.6905630230903625,0.6794686913490295,0.01155127841443284,0.011353078869668727
42,0.6905511021614075,0.6794726252555847,0.011551062151122261,0.011353154945863022
43,0.6905372738838196,0.6794806718826294,0.011550853767544346,0.01135327698733871
44,0.690526008605957,0.6794908046722412,0.011550638112923487,0.011353435826324972
45,0.6905145049095154,0.6794884204864502,0.011550402912875677,0.011353407234729395
46,0.6905010342597961,0.6794962882995605,0.01155016152766322,0.011353533286960964
47,0.6904897689819336,0.6794988512992859,0.011549945243962533,0.011353578475635966
48,0.6904746890068054,0.6795074343681335,0.011549703526336993,0.01135371399921767
49,0.6904600858688354,0.6795095205307007,0.011549459788422423,0.01135375210580177
50,0.6904447078704834,0.6795142889022827,0.011549220370791334,0.011353829899738542
51,0.690431535243988,0.6795134544372559,0.011548939914323344,0.011353799333920982
52,0.6904158592224121,0.679517924785614,0.011548658021681275,0.01135386250157968
53,0.6903998255729675,0.6795265078544617,0.011548326858163175,0.011353997467425624
54,0.6903798580169678,0.6795358061790466,0.011548002480460605,0.011354144138782503
55,0.6903626918792725,0.6795451045036316,0.011547689794550748,0.011354291354690531
56,0.6903417706489563,0.6795483231544495,0.011547373019135573,0.011354343764010769
57,0.6903203129768372,0.6795515418052673,0.011547053327674056,0.011354404156817025
58,0.6903010606765747,0.6795545220375061,0.011546689919384867,0.011354436472697016
59,0.6902813911437988,0.679557740688324,0.011546357353921531,0.011354484959147407
60,0.6902609467506409,0.6795617938041687,0.011545988382479977,0.011354543192167634
61,0.6902401447296143,0.6795690059661865,0.011545583232604193,0.011354669378692195
62,0.6902170777320862,0.679570734500885,0.01154523573430511,0.011354705888497317
63,0.6901940703392029,0.6795767545700073,0.011544846747849606,0.011354806456835082
64,0.6901738047599792,0.6795818209648132,0.011544434442293453,0.011354891140423413
65,0.6901487708091736,0.6795847415924072,0.011544088650722444,0.011354939612184997
66,0.6901261806488037,0.6795981526374817,0.011543652427009183,0.01135516812658308
67,0.6901034116744995,0.6796119213104248,0.011543237693508067,0.011355423161005393
68,0.6900813579559326,0.6796184182167053,0.011542838859325057,0.011355536564752923
69,0.6900577545166016,0.6796267628669739,0.011542387866685423,0.011355669398688954
70,0.6900331377983093,0.6796349287033081,0.011541964687175034,0.011355807023201669
71,0.6900069713592529,0.6796420812606812,0.011541535879605493,0.011355907890011356
72,0.6899832487106323,0.6796531677246094,0.011541141876083532,0.011356118865214503
73,0.6899585723876953,0.6796662211418152,0.011540641376110867,0.011356355050533994
74,0.6899306774139404,0.6796762943267822,0.011540187695181702,0.011356566618639914
75,0.6899052262306213,0.6796850562095642,0.011539728506908552,0.011356727504975217
76,0.6898801326751709,0.6796954870223999,0.011539245365426894,0.011356933799478065
77,0.689853310585022,0.679700493812561,0.011538793873340926,0.011357043695107056
78,0.6898248195648193,0.6797113418579102,0.011538271360335717,0.011357225391297842
79,0.6897974610328674,0.6797239780426025,0.01153778262552408,0.011357465424893222
80,0.6897695660591125,0.6797278523445129,0.011537294817804399,0.011357532018900905
81,0.6897412538528442,0.6797388195991516,0.011536812495749536,0.011357741328604965
82,0.6897121667861938,0.6797546744346619,0.011536268607204298,0.011358019764551256
83,0.6896833777427673,0.679763913154602,0.01153580941435353,0.011358187608888758
84,0.6896540522575378,0.679775059223175,0.01153525022625846,0.011358405961559693
85,0.6896226406097412,0.6797829270362854,0.011534716151223872,0.01135854408974429
86,0.6895935535430908,0.6798003315925598,0.011534220921420925,0.011358859563218202
87,0.6895653605461121,0.6798046827316284,0.011533729224349028,0.011358943000249776
88,0.6895348429679871,0.6798118352890015,0.011533226978286414,0.011359080589501623
89,0.6895033717155457,0.6798231601715088,0.011532705571887502,0.01135927832482992
90,0.6894745826721191,0.6798375248908997,0.011532179216373112,0.011359539676289554
91,0.6894434690475464,0.6798616647720337,0.011531618992611528,0.011359984731044041
92,0.6894115209579468,0.6798858642578125,0.011531080928134872,0.011360419109676395
93,0.6893823146820068,0.6798948645591736,0.011530552966684444,0.011360573263535251
94,0.6893481612205505,0.6799183487892151,0.011529983822672923,0.011360982494751818
95,0.6893167495727539,0.6799477338790894,0.011529373706542707,0.011361531188530487
96,0.6892824172973633,0.6799664497375488,0.011528843897033129,0.011361881301544967
97,0.689249575138092,0.6799914836883545,0.011528247301912813,0.01136232800259492
98,0.6892172694206238,0.6800147294998169,0.011527648467314276,0.01136275059438944
99,0.6891847252845764,0.6800329685211182,0.011527097229313754,0.011363074051870474
100,0.6891497373580933,0.6800602674484253,0.011526508061552473,0.011363587335788366
101,0.689118504524231,0.6800799369812012,0.011525928947022786,0.011363927677381211
102,0.6890838742256165,0.680092453956604,0.011525408151168832,0.011364159582049362
103,0.6890493631362915,0.6801233291625977,0.011524771910190574,0.011364693499046436
104,0.6890157461166382,0.6801405549049377,0.011524253582028932,0.011365005285727243
105,0.6889841556549072,0.6801688075065613,0.011523658183203337,0.011365509573762577
106,0.6889539361000061,0.680198609828949,0.01152302588533117,0.011366010679408088
107,0.6889219284057617,0.6802223920822144,0.011522471654245038,0.01136640975926378
108,0.6888894438743591,0.6802459955215454,0.011521921399065826,0.011366824878531362
109,0.68885737657547,0.6802499890327454,0.011521401759128953,0.011366933124257328
110,0.6888251900672913,0.6802641749382019,0.011520869986144301,0.011367176365240634
111,0.6887922286987305,0.6803030967712402,0.011520216789676381,0.011367830905616352
112,0.6887564659118652,0.6802985072135925,0.011519767209903943,0.011367767643142384
113,0.6887247562408447,0.6803187131881714,0.01151918766096765,0.011368130894151583
114,0.6886899471282959,0.6803383231163025,0.011518617245051056,0.011368470091544592
115,0.6886566877365112,0.6803556084632874,0.011518092841675407,0.011368796224172053
