epoch,loss_train_norm,loss_val_norm,mae_train_real,mae_val_real
1,0.6701949834823608,0.6727718114852905,0.005340877056362815,0.005343459761809859
2,0.6700010299682617,0.6727731823921204,0.0053408790705988,0.005343477773082243
3,0.6700014472007751,0.6727730631828308,0.00534087949621673,0.005343488269695799
4,0.6700015664100647,0.6727695465087891,0.005340878895387392,0.005343474282831361
5,0.6700023412704468,0.6727733612060547,0.005340880245164411,0.005343501925588338
6,0.670001745223999,0.6727721095085144,0.005340881381255115,0.005343490867396126
7,0.670002281665802,0.672773003578186,0.005340880342850363,0.0053434984337916
8,0.6700016856193542,0.6727720499038696,0.00534087995580113,0.005343488868002881
9,0.6700018048286438,0.6727697253227234,0.005340878328731601,0.005343480262420718
10,0.6700024604797363,0.6727719902992249,0.005340880329299467,0.005343486877737421
11,0.6700018048286438,0.6727707386016846,0.005340880662988266,0.005343479892911806
12,0.6699775457382202,0.6727817058563232,0.005340852716412018,0.005343553718741405
13,0.6699761748313904,0.6727831363677979,0.005340848334696746,0.005343563627777588
14,0.6699759364128113,0.6727852821350098,0.0053408481586613744,0.005343574218565663
15,0.6699755191802979,0.6727827191352844,0.005340847181159293,0.005343556657307957
16,0.6699758172035217,0.6727831363677979,0.0053408474157019,0.005343557671349743
17,0.6699755191802979,0.6727820038795471,0.005340847331279185,0.0053435489354500985
18,0.6699753403663635,0.672781765460968,0.005340847863384026,0.005343546973861648
19,0.6699752807617188,0.6727811694145203,0.005340846932802456,0.005343545730480941
20,0.6699756979942322,0.6727800369262695,0.00534084607604487,0.005343540303213212
21,0.6699756979942322,0.6727821230888367,0.005340847820066306,0.00534355134304706
22,0.6699623465538025,0.6727883219718933,0.005340841207781408,0.005343597792168534
23,0.6699621677398682,0.6727908253669739,0.005340838741714344,0.005343618414616845
24,0.6699618697166443,0.672792911529541,0.005340838436942084,0.005343633936468355
25,0.6699618697166443,0.6727936863899231,0.005340837905581392,0.005343640109944967
26,0.6699615716934204,0.6727950572967529,0.005340838328784811,0.005343648477313519
27,0.6699615716934204,0.672794759273529,0.005340837802499265,0.005343648049760258
28,0.6699618101119995,0.6727956533432007,0.0053408379953044085,0.005343653549662134
29,0.6699616312980652,0.6727951765060425,0.005340837720902531,0.0053436513156599275
30,0.6699615120887756,0.6727957129478455,0.005340837920980838,0.005343654985812874
31,0.6699615716934204,0.6727948784828186,0.005340837504089949,0.005343649867273082
32,0.6699550747871399,0.672798216342926,0.005340836807941301,0.005343674472726128
33,0.6699550151824951,0.6728008389472961,0.0053408366948031185,0.005343692424149664
34,0.6699548363685608,0.672802209854126,0.0053408363012266485,0.00534370237714274
35,0.6699547171592712,0.6728034019470215,0.005340836245153295,0.005343709961035997
36,0.6699544787406921,0.6728039979934692,0.005340836010446907,0.005343714487214853
37,0.6699550151824951,0.6728046536445618,0.005340835994758212,0.005343719311813306
38,0.6699547171592712,0.6728048324584961,0.0053408357472187785,0.005343720814853592
39,0.6699548959732056,0.6728051900863647,0.005340835833533072,0.00534372266889597
40,0.6699547171592712,0.6728055477142334,0.005340835816053067,0.005343725182895798
41,0.6699547171592712,0.6728054881095886,0.0053408356240955785,0.005343724509109514
42,0.6699510216712952,0.6728065609931946,0.005340835755625748,0.005343732752120122
43,0.6699510216712952,0.6728073954582214,0.005340835751348833,0.005343739211382109
44,0.6699510216712952,0.672808051109314,0.005340835670807702,0.005343744472348222
