epoch,learning_rate,loss,mae,val_loss,val_mae
0,0.0010000000474974513,0.7514959573745728,0.7514959573745728,0.7653286457061768,0.7653286457061768
1,0.0010000000474974513,0.7448933720588684,0.7448933720588684,0.752748966217041,0.752748966217041
2,0.0010000000474974513,0.7245954275131226,0.7245954275131226,0.7302958965301514,0.7302958965301514
3,0.0010000000474974513,0.700064480304718,0.700064480304718,0.7061430811882019,0.7061430811882019
4,0.0010000000474974513,0.6801125407218933,0.6801125407218933,0.6883895397186279,0.6883895397186279
5,0.0010000000474974513,0.6649397611618042,0.6649397611618042,0.6753267645835876,0.6753267645835876
6,0.0010000000474974513,0.6534979939460754,0.6534979939460754,0.6657347679138184,0.6657347679138184
7,0.0010000000474974513,0.6452468633651733,0.6452468633651733,0.659159243106842,0.659159243106842
8,0.0010000000474974513,0.6409536600112915,0.6409536600112915,0.6523823142051697,0.6523823142051697
9,0.0010000000474974513,0.6340285539627075,0.6340285539627075,0.6482245922088623,0.6482245922088623
10,0.0010000000474974513,0.6273423433303833,0.6273423433303833,0.6449107527732849,0.6449107527732849
11,0.0010000000474974513,0.622036337852478,0.622036337852478,0.6431305408477783,0.6431305408477783
12,0.0010000000474974513,0.6176607012748718,0.6176607012748718,0.6392696499824524,0.6392696499824524
13,0.0010000000474974513,0.6132018566131592,0.6132018566131592,0.6359813809394836,0.6359813809394836
14,0.0010000000474974513,0.6089876294136047,0.6089876294136047,0.6333733201026917,0.6333733201026917
15,0.0010000000474974513,0.6051198244094849,0.6051198244094849,0.6308180689811707,0.6308180689811707
16,0.0010000000474974513,0.6020925045013428,0.6020925045013428,0.6281654238700867,0.6281654238700867
17,0.0010000000474974513,0.599947452545166,0.599947452545166,0.6299558281898499,0.6299558281898499
18,0.0010000000474974513,0.5995498299598694,0.5995498299598694,0.6239820122718811,0.6239820122718811
19,0.0010000000474974513,0.5984559059143066,0.5984559059143066,0.6215500831604004,0.6215500831604004
20,0.0010000000474974513,0.5936017036437988,0.5936017036437988,0.6219784021377563,0.6219784021377563
21,0.0010000000474974513,0.5895580649375916,0.5895580649375916,0.6200827360153198,0.6200827360153198
