epoch,learning_rate,loss,mae,val_loss,val_mae
0,0.0010000000474974513,0.6860737800598145,0.6860737800598145,0.6199800968170166,0.6199800968170166
1,0.0010000000474974513,0.5649780035018921,0.5649780035018921,0.5476078391075134,0.5476078391075134
2,0.0010000000474974513,0.5128207206726074,0.5128207206726074,0.4924459159374237,0.4924459159374237
3,0.0010000000474974513,0.4791395962238312,0.4791395962238312,0.4562232196331024,0.4562232196331024
4,0.0010000000474974513,0.4530371427536011,0.4530371427536011,0.43378564715385437,0.43378564715385437
5,0.0010000000474974513,0.43254008889198303,0.43254008889198303,0.412986695766449,0.412986695766449
6,0.0010000000474974513,0.41371917724609375,0.41371917724609375,0.38789743185043335,0.38789743185043335
7,0.0010000000474974513,0.39870741963386536,0.39870741963386536,0.37047621607780457,0.37047621607780457
8,0.0010000000474974513,0.3858438730239868,0.3858438730239868,0.3565771281719208,0.3565771281719208
9,0.0010000000474974513,0.3739147484302521,0.3739147484302521,0.34541216492652893,0.34541216492652893
10,0.0010000000474974513,0.36380434036254883,0.36380434036254883,0.33499616384506226,0.33499616384506226
11,0.0010000000474974513,0.35552164912223816,0.35552164912223816,0.324322909116745,0.324322909116745
12,0.0010000000474974513,0.34946849942207336,0.34946849942207336,0.3175619840621948,0.3175619840621948
13,0.0010000000474974513,0.3430456221103668,0.3430456221103668,0.31156012415885925,0.31156012415885925
14,0.0010000000474974513,0.3368281424045563,0.3368281424045563,0.3004193902015686,0.3004193902015686
15,0.0010000000474974513,0.33107057213783264,0.33107057213783264,0.2981948256492615,0.2981948256492615
16,0.0010000000474974513,0.3259916305541992,0.3259916305541992,0.2908366322517395,0.2908366322517395
17,0.0010000000474974513,0.3211272656917572,0.3211272656917572,0.28681832551956177,0.28681832551956177
18,0.0010000000474974513,0.3183833062648773,0.3183833062648773,0.28235623240470886,0.28235623240470886
19,0.0010000000474974513,0.3145424425601959,0.3145424425601959,0.2800217568874359,0.2800217568874359
20,0.0010000000474974513,0.3110884130001068,0.3110884130001068,0.27234047651290894,0.27234047651290894
21,0.0010000000474974513,0.30784082412719727,0.30784082412719727,0.27056750655174255,0.27056750655174255
22,0.0010000000474974513,0.3050043284893036,0.3050043284893036,0.26590782403945923,0.26590782403945923
23,0.0010000000474974513,0.3012756407260895,0.3012756407260895,0.26077866554260254,0.26077866554260254
24,0.0010000000474974513,0.2989041805267334,0.2989041805267334,0.262135773897171,0.262135773897171
25,0.0010000000474974513,0.29821544885635376,0.29821544885635376,0.25637713074684143,0.25637713074684143
26,0.0010000000474974513,0.295221209526062,0.295221209526062,0.25520431995391846,0.25520431995391846
27,0.0010000000474974513,0.2938021123409271,0.2938021123409271,0.24919381737709045,0.24919381737709045
28,0.0010000000474974513,0.2913709878921509,0.2913709878921509,0.24804697930812836,0.24804697930812836
29,0.0010000000474974513,0.29001617431640625,0.29001617431640625,0.24668274819850922,0.24668274819850922
30,0.0010000000474974513,0.2880208492279053,0.2880208492279053,0.24744896590709686,0.24744896590709686
31,0.0010000000474974513,0.2865440845489502,0.2865440845489502,0.2425379604101181,0.2425379604101181
32,0.0010000000474974513,0.2866290807723999,0.2866290807723999,0.23908592760562897,0.23908592760562897
33,0.0010000000474974513,0.2841038107872009,0.2841038107872009,0.24075563251972198,0.24075563251972198
34,0.0010000000474974513,0.2830151915550232,0.2830151915550232,0.23975344002246857,0.23975344002246857
35,0.0010000000474974513,0.28061679005622864,0.28061679005622864,0.23720724880695343,0.23720724880695343
36,0.0010000000474974513,0.2797708511352539,0.2797708511352539,0.23015733063220978,0.23015733063220978
37,0.0010000000474974513,0.27838391065597534,0.27838391065597534,0.2344490885734558,0.2344490885734558
38,0.0010000000474974513,0.2792243957519531,0.2792243957519531,0.23424433171749115,0.23424433171749115
39,0.0010000000474974513,0.2764761745929718,0.2764761745929718,0.23156145215034485,0.23156145215034485
40,0.0010000000474974513,0.2751891613006592,0.2751891613006592,0.22772453725337982,0.22772453725337982
41,0.0010000000474974513,0.27435529232025146,0.27435529232025146,0.22501273453235626,0.22501273453235626
42,0.0010000000474974513,0.2742595374584198,0.2742595374584198,0.22333039343357086,0.22333039343357086
43,0.0010000000474974513,0.2729969620704651,0.2729969620704651,0.22352291643619537,0.22352291643619537
44,0.0010000000474974513,0.2713462710380554,0.2713462710380554,0.2227371782064438,0.2227371782064438
45,0.0010000000474974513,0.2708795964717865,0.2708795964717865,0.22271914780139923,0.22271914780139923
46,0.0010000000474974513,0.2697006165981293,0.2697006165981293,0.22450880706310272,0.22450880706310272
47,0.0010000000474974513,0.2686685621738434,0.2686685621738434,0.2240881472826004,0.2240881472826004
48,0.0010000000474974513,0.2690221071243286,0.2690221071243286,0.22055920958518982,0.22055920958518982
49,0.0010000000474974513,0.26764392852783203,0.26764392852783203,0.21924255788326263,0.21924255788326263
50,0.0010000000474974513,0.2671322822570801,0.2671322822570801,0.21672320365905762,0.21672320365905762
51,0.0010000000474974513,0.26585957407951355,0.26585957407951355,0.21950171887874603,0.21950171887874603
52,0.0010000000474974513,0.266508549451828,0.266508549451828,0.21385222673416138,0.21385222673416138
53,0.0010000000474974513,0.264679491519928,0.264679491519928,0.21774432063102722,0.21774432063102722
54,0.0010000000474974513,0.26408520340919495,0.26408520340919495,0.21678805351257324,0.21678805351257324
55,0.0010000000474974513,0.2646929919719696,0.2646929919719696,0.21680614352226257,0.21680614352226257
56,0.0010000000474974513,0.26385608315467834,0.26385608315467834,0.21348918974399567,0.21348918974399567
57,0.0010000000474974513,0.26294219493865967,0.26294219493865967,0.21267549693584442,0.21267549693584442
58,0.0010000000474974513,0.26242122054100037,0.26242122054100037,0.21592985093593597,0.21592985093593597
59,0.0010000000474974513,0.26165860891342163,0.26165860891342163,0.21441210806369781,0.21441210806369781
60,0.0010000000474974513,0.2607942223548889,0.2607942223548889,0.21154877543449402,0.21154877543449402
61,0.0010000000474974513,0.26141154766082764,0.26141154766082764,0.21158367395401,0.21158367395401
62,0.0010000000474974513,0.26035192608833313,0.26035192608833313,0.21167612075805664,0.21167612075805664
63,0.0010000000474974513,0.26051580905914307,0.26051580905914307,0.21476967632770538,0.21476967632770538
64,0.0010000000474974513,0.2595495879650116,0.2595495879650116,0.21437469124794006,0.21437469124794006
65,0.0010000000474974513,0.25906383991241455,0.25906383991241455,0.2077132612466812,0.2077132612466812
