epoch,learning_rate,loss,mae,val_loss,val_mae
0,0.0002500000118743628,0.6930537819862366,0.6930537819862366,0.684259295463562,0.684259295463562
1,0.0002500000118743628,0.6911811232566833,0.6911811232566833,0.6834721565246582,0.6834721565246582
2,0.0002500000118743628,0.6905974745750427,0.6905974745750427,0.6831257939338684,0.6831257939338684
3,0.0002500000118743628,0.6903433203697205,0.6903433203697205,0.6829206347465515,0.6829206347465515
4,0.0002500000118743628,0.6901845932006836,0.6901845932006836,0.6828500032424927,0.6828500032424927
5,0.0002500000118743628,0.6901258826255798,0.6901258826255798,0.6828269362449646,0.6828269362449646
6,0.0002500000118743628,0.6901218295097351,0.6901218295097351,0.6828112006187439,0.6828112006187439
7,0.0002500000118743628,0.6900988221168518,0.6900988221168518,0.6828031539916992,0.6828031539916992
8,0.0002500000118743628,0.6900892853736877,0.6900892853736877,0.6827999949455261,0.6827999949455261
9,0.0002500000118743628,0.6900880932807922,0.6900880932807922,0.6827952861785889,0.6827952861785889
10,0.0002500000118743628,0.6900933980941772,0.6900933980941772,0.6827926635742188,0.6827926635742188
11,0.0002500000118743628,0.6900905966758728,0.6900905966758728,0.6827881336212158,0.6827881336212158
12,0.0001250000059371814,0.6900755167007446,0.6900755167007446,0.6827847361564636,0.6827847361564636
13,0.0001250000059371814,0.6900834441184998,0.6900834441184998,0.6827840805053711,0.6827840805053711
14,0.0001250000059371814,0.6900795698165894,0.6900795698165894,0.6827837824821472,0.6827837824821472
15,0.0001250000059371814,0.6900739669799805,0.6900739669799805,0.6827835440635681,0.6827835440635681
16,0.0001250000059371814,0.6900706887245178,0.6900706887245178,0.6827840805053711,0.6827840805053711
17,6.25000029685907e-05,0.6900685429573059,0.6900685429573059,0.6827827095985413,0.6827827095985413
18,6.25000029685907e-05,0.6900709271430969,0.6900709271430969,0.6827823519706726,0.6827823519706726
19,6.25000029685907e-05,0.6900641322135925,0.6900641322135925,0.6827837228775024,0.6827837228775024
20,6.25000029685907e-05,0.6900659799575806,0.6900659799575806,0.6827855110168457,0.6827855110168457
21,6.25000029685907e-05,0.6900644302368164,0.6900644302368164,0.6827868819236755,0.6827868819236755
22,3.125000148429535e-05,0.6900641918182373,0.6900641918182373,0.6827858090400696,0.6827858090400696
23,3.125000148429535e-05,0.6900608539581299,0.6900608539581299,0.6827864646911621,0.6827864646911621
24,3.125000148429535e-05,0.6900627017021179,0.6900627017021179,0.6827865839004517,0.6827865839004517
25,3.125000148429535e-05,0.6900596022605896,0.6900596022605896,0.6827874183654785,0.6827874183654785
26,3.125000148429535e-05,0.690051794052124,0.690051794052124,0.6827885508537292,0.6827885508537292
27,1.5625000742147677e-05,0.6900619268417358,0.6900619268417358,0.682788610458374,0.6827885508537292
28,1.5625000742147677e-05,0.6900549530982971,0.6900549530982971,0.6827895045280457,0.6827895045280457
29,1.5625000742147677e-05,0.6900520920753479,0.6900520920753479,0.6827906966209412,0.6827906966209412
30,1.5625000742147677e-05,0.6900542378425598,0.6900542378425598,0.6827908754348755,0.6827908754348755
31,1.5625000742147677e-05,0.690055787563324,0.690055787563324,0.6827906370162964,0.6827906370162964
32,7.812500371073838e-06,0.6900557279586792,0.6900557279586792,0.6827903985977173,0.6827903985977173
33,7.812500371073838e-06,0.6900515556335449,0.6900515556335449,0.6827909350395203,0.6827909350395203
