epoch,learning_rate,loss,mae,val_loss,val_mae
0,0.0001500000071246177,0.6948838829994202,0.6948838829994202,0.694001317024231,0.694001317024231
1,0.0001500000071246177,0.6945834159851074,0.6945834159851074,0.6938918828964233,0.6938918828964233
2,0.0001500000071246177,0.6944563388824463,0.6944563388824463,0.6938268542289734,0.6938268542289734
3,0.0001500000071246177,0.6943573355674744,0.6943573355674744,0.6938040852546692,0.6938040852546692
4,0.0001500000071246177,0.6942905187606812,0.6942905187606812,0.6938121318817139,0.6938121318817139
5,0.0001500000071246177,0.6942316889762878,0.6942316889762878,0.6938368082046509,0.6938368082046509
6,0.0001500000071246177,0.694204568862915,0.694204568862915,0.6938360929489136,0.6938360929489136
7,7.500000356230885e-05,0.6939985752105713,0.6939985752105713,0.6938316822052002,0.6938316822052002
8,7.500000356230885e-05,0.693967342376709,0.693967342376709,0.6938178539276123,0.6938178539276123
9,7.500000356230885e-05,0.6938427090644836,0.6938427090644836,0.6938349604606628,0.6938349604606628
10,7.500000356230885e-05,0.6937933564186096,0.6937933564186096,0.6938461065292358,0.6938461065292358
11,7.500000356230885e-05,0.69373619556427,0.69373619556427,0.6938937306404114,0.6938937306404114
12,3.7500001781154424e-05,0.6936255097389221,0.6936255097389221,0.6938886642456055,0.6938886642456055
13,3.7500001781154424e-05,0.6935703158378601,0.6935703158378601,0.6939243078231812,0.6939243078231812
14,3.7500001781154424e-05,0.6936009526252747,0.6936009526252747,0.6939521431922913,0.6939521431922913
15,3.7500001781154424e-05,0.6934756636619568,0.6934756636619568,0.6939924955368042,0.6939924955368042
16,3.7500001781154424e-05,0.6934076547622681,0.6934076547622681,0.6940363645553589,0.6940363645553589
17,1.8750000890577212e-05,0.6933772563934326,0.6933772563934326,0.6940598487854004,0.6940598487854004
18,1.8750000890577212e-05,0.6933483481407166,0.6933483481407166,0.6940659880638123,0.6940659880638123
