date,EW_predNone,MinVar_predNone,MaxSharpe_hist_predNone,TopK_pred_predtop_val,TopK_pred_predtop_test,TopK_pred_predensemble,Momentum_tilt_pred_predtop_val,Momentum_tilt_pred_predtop_test,Momentum_tilt_pred_predensemble,BlackLitterman_pred_predtop_val,BlackLitterman_pred_predtop_test,BlackLitterman_pred_predensemble
2025-01-02,-0.003427202207499468,-0.0054494952406588726,-0.0005557866917405111,-0.004259466450997894,-0.0013090730346379084,-0.00020561763053165115,-0.003159691782350394,-0.0015602183333088414,-0.0014758160606249417,-0.004850789347935089,-0.0020478916650744365,-0.0029886752433162106
2025-01-03,0.0041017331174228585,0.0023386986828621325,0.004325439995619445,0.008580774867256436,0.0005330375345236281,0.001408245851043599,0.0076775351232707565,0.0024642810103828253,0.0018608239540746961,0.006755993726346507,0.0019854925214467336,0.0010203218964544912
2025-01-06,-0.006491034669200415,-0.010238850952142338,-0.008928883994965811,-0.001867376945624688,-0.005158522007204235,-0.010662852492614273,-0.003879663257461043,-0.008680079821500583,-0.0119524156033868,-0.00511399713622327,-0.010155120762180479,-0.011390904182202344
2025-01-07,0.0022052055852600943,0.003945732294496215,-0.0028786882034396353,0.0003525387306498206,-0.00270035321459221,-0.0030128781442389833,-0.0004397925125260251,-0.0019903795586172688,-0.002864855739864431,0.002353594681646853,0.0007842583372281516,0.0003532618330115832
2025-01-08,0.0015301046823689305,-0.0004651990851182628,0.004887303490539446,0.0023578895163068876,-0.005046002011380546,-0.0061778403912995826,0.004161956547953283,-0.0025606421735666733,0.0012966157945008834,0.0030415923457507606,-0.0033363110844271764,-0.0038169589021224684
2025-01-10,-0.007825057025917969,-0.008621554207353168,-0.011578632041088248,-0.007110047862668289,-0.006137046695212466,-0.006053260051910847,-0.007921654415054007,-0.008619922303031526,-0.010914602410618993,-0.006398540856039088,-0.0069992084307740725,-0.007977435902183246
2025-01-13,0.00652118316130365,0.0077873604915863585,0.0015997277281834662,-0.003815737153588627,0.0027772126735686074,0.005416185913977988,-0.0016016596153737626,0.003715018761072966,0.002474762593047746,0.0033887041911446884,0.006314824605150885,0.006872008013651082
2025-01-14,0.006862156789762518,0.0041404626311520734,0.012803382081161942,0.002400072691946664,0.00959139949261316,0.005178371707233031,0.007174537602228586,0.008844999548657828,0.007129939524534244,0.0038425986233614146,0.004871570610682634,0.0033485501762526284
2025-01-15,0.0034539498040149657,0.0016300286176412634,0.0006003220491267586,0.003922105730161052,-0.004070482563335398,-0.005807012854525406,0.0035459693968730955,-0.0021049763437726693,-0.003137942689117118,0.00511812188902699,-0.0019265885063379576,-0.0029691505503151652
2025-01-16,0.008513886216655001,0.006765360840938074,0.0028492085143164243,0.0012402733225524987,0.0030705927341026173,0.002468815581207839,0.0027978874778415356,0.002645884511213671,0.002190624299885182,0.0045258730958842855,0.004278097817063063,0.00543657466884566
2025-01-17,0.005172409592717002,0.002425827080475825,0.008123018788351623,0.005776336004762771,0.00428174349887238,0.003377827098115404,0.007353265773817905,0.004631469516659608,0.005776779805290054,0.004511436633419488,0.0032863313970228113,0.0010570588020055657
2025-01-21,0.008847467792797962,0.004712483788657249,0.010915550052143508,0.007808697159934486,0.010934720902466609,0.004564553579812157,0.009439356081687379,0.008751354999458682,0.005723342360442978,0.006574673837120031,0.0026366054936616296,0.0025242491175736094
2025-01-22,-0.006123954953526188,-0.005232409511627186,0.0020473023046044,0.0014930131957703982,-0.008190479211709189,-0.009249314628367866,-0.0006901042145632937,-0.003170848214497928,-0.0010849499630035944,-0.0036599059117169487,-0.0057379332617902975,-0.006629654805124003
2025-01-23,0.00890506003724598,0.00781347733588211,0.01582224571027912,0.009807696448612346,0.008321999871713736,0.006103509674339391,0.012098630267763337,0.011566445313357016,0.008074327804348079,0.007014503665550281,0.007166066409484176,0.005907028019185959
2025-01-24,-0.0021188648760587523,-0.0020520472440078664,0.0026595727559959683,-0.00020248109869622785,0.011072647167068083,0.0072549900777587155,0.002748290188011394,0.005500633976552827,0.004278817212790544,-0.0011756632345950656,0.003607438203234573,0.001866674698153371
2025-01-27,0.014410996730056125,0.019979646781481203,0.008116467432965848,0.009685766291891974,0.0191542239970375,0.02811535733625589,0.008405366448608767,0.014518533176136338,0.019620847251370165,0.012409102391485384,0.02068506171110397,0.027955402841917193
2025-01-28,-0.011797429748079827,-0.015465224816421801,-0.007746472216084818,-0.010711934061385242,-0.009518660588179073,-0.013673554687762013,-0.0100431656996024,-0.010231647495665618,-0.011380378603855396,-0.013575330806688216,-0.012699625546445728,-0.01422338835371226
2025-01-29,-0.0015938865031067768,-0.0017967923490760423,0.0037094524385905547,-0.0009758784363649518,0.001554231684799867,0.006918174907045804,-0.0018831413635000923,0.003415784215371478,0.005449729045535965,-0.007174006813369197,0.003398697375240056,0.002344001882540667
2025-01-30,0.012931141286179604,0.011212418323637214,0.0125024263854679,0.03144747531001091,-0.00482725299745248,0.0022642382706056013,0.02289153432454239,0.003091295944259619,0.013636280559024164,0.023078160384513064,0.004526716753764796,0.006487094378300095
2025-01-31,-0.0078001722323289115,-0.0072243228514866226,-0.004609462686953926,-0.005220479824234991,-0.00192900426028375,0.0012691878359677002,-0.004794016701934312,-0.002783763266847148,-0.0021753663978644694,-0.006633651878620473,-0.004749951827252916,-0.001073695462299023
2025-02-03,0.0033907300772013415,0.003998813087927647,0.010716173500422123,0.006309601424374577,0.009871380806960595,0.008742777629911202,0.007061997058655105,0.010106706928020886,0.011079919687810729,0.006126156003442231,0.0078000760387842965,0.008644679966807189
2025-02-04,-0.0038568174984891833,-0.0062746684930441166,-0.00443746893064902,-0.0021242553713246796,-0.004862003072229015,-5.911875259876373e-05,-0.0048980962742954355,-0.001907801466116093,-0.0022410071424804555,-0.0036844461196302307,-0.002517647093449781,-0.007846406370615646
2025-02-05,0.005471387707643235,0.0034398781271422285,0.006694049699565779,0.00492514950905829,0.001003902468388018,0.002477115175189514,0.004110270534876372,0.004904446601735307,0.0031723119454630487,0.004451656585549358,0.003106406088243629,0.003838936510388953
2025-02-06,-0.0025399823976121638,-0.004767315780998194,0.0026030814953821205,-0.0024822923410304336,0.006852064201605045,0.0007082815185277091,0.0007959086437957279,0.003022490027168157,-0.0005542069397179617,-0.003626469336112402,-0.0016521783081481522,-0.002801607383768232
2025-02-07,-0.003493067291933144,-0.0031879316694105354,-0.0030476017340602614,-0.005885336776623128,-0.0011654674473269733,-0.0008343912133518038,-0.003987898269379947,-0.002690759277919997,-0.002276032818535771,-0.0033235723830671235,-0.002394537671292568,-0.0018287752461499046
2025-02-10,0.004014064460101823,0.004449287811472512,0.001071307122783134,0.0033001219481559423,-0.0005387038483678939,0.006179985992608294,0.0024206008703763064,0.002247886582876926,0.0027674592961384734,0.004131785559809056,0.005766027908294962,0.0049341049939425775
