date,AEP,BA,CAT,CNP,CVX,DIS,DTE,ED,GD,GE,HON,HPQ,IBM,IP,JNJ,KO,KR,MMM,MO,MRK,MSI,PG,XOM,strategy_key
2025-01-02,0.04347826086956522,0.04347826086956522,0.04347826086956522,0.04347826086956522,0.04347826086956522,0.04347826086956522,0.04347826086956522,0.04347826086956522,0.04347826086956522,0.04347826086956522,0.04347826086956522,0.04347826086956522,0.04347826086956522,0.04347826086956522,0.04347826086956522,0.04347826086956522,0.04347826086956522,0.04347826086956522,0.04347826086956522,0.04347826086956522,0.04347826086956522,0.04347826086956522,0.04347826086956522,EW_predNone
2025-01-02,7.730580485525161e-18,0.029022053355340187,0.006937185021030467,0.0,0.03500173927457503,0.07210682422645225,7.69293926255577e-19,0.029012943198419135,0.10068756981620887,0.02539091717839331,0.06270334764208536,0.017359179506620328,1.0352405515723838e-20,0.02141407863600648,0.10617126782750001,0.15000000000000002,0.018143946333897498,0.0,0.03488708585407372,0.06914626404447693,0.05902329631742238,0.12023568012453839,0.04275662164295969,MinVar_predNone
2025-04-01,7.159285706417492e-20,0.03815238864979135,0.019773053539649678,0.0015804879836041666,0.040775595384676414,0.07892139837141825,0.0022415672881845507,0.020527480368095714,0.038886871957582794,0.030353712705740433,0.03434993790877446,0.03103719026089339,0.0,0.03462457049423427,0.08606932051207467,0.1024383076310222,0.0613314990556167,5.126406633007171e-20,0.06890866265504574,0.1037135256163522,0.07446672062781487,0.07018862540217997,0.061659083587248184,MinVar_predNone
2025-07-01,0.0,0.03119023949688085,0.05400881121394414,0.08692683429921877,0.01034761121523875,0.015638884295146472,0.0,0.06390694887217678,0.004720974758206803,0.0,1.1291664040125455e-18,0.029362946746337406,0.0,0.014021259428979204,0.11850128400029485,0.12714309314271047,0.0831123907003107,1.4271122928536576e-19,0.13910264239910897,0.03134261033081805,0.1063388589010909,0.0329350950523822,0.05139951514715463,MinVar_predNone
2025-10-01,1.1014843631246475e-17,0.040950134340092675,0.06939864388040871,0.14010129445453065,0.015845271842024233,0.003618660043229617,3.712324664688531e-18,0.04424985933946952,0.0,0.0,5.204409371318787e-18,0.020421572831406318,0.029117855170323347,0.004149854076252167,0.11180017171503645,0.12868778769470857,0.08289708470077044,0.0,0.1437569651526351,0.00272303573662527,0.07106670376087677,0.025044490401975046,0.0661706148596352,MinVar_predNone
2025-01-02,0.01460420629568642,0.0,0.0,0.0,6.207283084846672e-17,0.06484775603365549,1.6903801546008093e-17,1.895201756860694e-17,4.862943859369571e-17,0.14391825386291757,8.540613279790946e-18,4.419559763382363e-18,0.05807526472348565,0.0983476060175639,9.387540347926846e-18,0.0,0.11828177244115187,0.04645448046975624,0.15,5.2718397756936214e-17,0.14999999999999997,0.1467039186530602,0.008766741502722577,MaxSharpe_hist_predNone
2025-04-01,0.14999999999999997,1.40025137506653e-16,0.0,0.059258722469339005,1.0038206090642601e-17,1.4291544638410316e-17,4.6822359916928697e-17,0.05257718691051516,0.0,0.10212652649693255,0.0,1.1948566666957791e-17,0.078792093623361,0.0789663450946355,3.469357744070686e-18,0.04923158582023045,0.0668348454213407,0.13885993520101766,0.14999999999999997,1.9839050454444024e-17,0.0733527589626278,0.0,0.0,MaxSharpe_hist_predNone
2025-07-01,0.15,0.0,7.018534067626657e-05,0.11333122213030854,5.994885940049444e-17,0.023581844326413002,0.03595540833025384,0.0,6.597378609993095e-18,0.14999999999999994,0.0,0.0,0.15,1.0771294448482289e-17,2.6562180726418475e-17,0.0,0.14999999999999994,0.07706133987234848,0.14999999999999997,1.0310413944039839e-16,5.959377800826988e-17,3.135848724873743e-17,6.335912837654735e-17,MaxSharpe_hist_predNone
2025-10-01,0.0126143932333074,0.10405090484385467,0.05136032067946084,0.14999999999999997,0.0025709047976257755,2.23503670095611e-17,0.0,0.0,2.0364748469314456e-17,0.14999999999999997,0.0,0.0,0.079403476445751,0.0,0.14999999999999997,2.3623188785280695e-19,0.14999999999999997,0.0,0.14999999999999997,0.0,5.281111255299031e-18,5.108555220723306e-17,4.4374413024103353e-16,MaxSharpe_hist_predNone
2025-01-02,0.19999999999999998,0.0,0.0,0.0,0.0,0.19999999999999998,0.0,0.0,0.0,0.0,0.0,0.19999999999999998,0.19999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19999999999999998,0.0,0.0,TopK_pred_predtop_val
2025-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19999999999999998,0.19999999999999998,0.0,0.19999999999999998,0.0,0.0,0.0,0.0,0.0,0.19999999999999998,0.19999999999999998,0.0,0.0,0.0,TopK_pred_predtop_val
2025-07-01,0.19999999999999998,0.19999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19999999999999998,0.0,0.0,0.19999999999999998,0.0,0.0,0.19999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,TopK_pred_predtop_val
2025-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19999999999999998,0.19999999999999998,0.0,0.19999999999999998,0.0,0.0,0.0,0.0,0.0,0.19999999999999998,0.0,0.19999999999999998,TopK_pred_predtop_val
2025-01-02,0.0,0.0,0.0,0.0,0.0,0.19999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19999999999999998,0.19999999999999998,0.0,0.19999999999999998,0.0,0.19999999999999998,0.0,0.0,0.0,0.0,TopK_pred_predtop_test
2025-04-01,0.0,0.19999999999999998,0.19999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19999999999999998,0.19999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19999999999999998,0.0,0.0,TopK_pred_predtop_test
2025-07-01,0.19999999999999998,0.0,0.0,0.0,0.0,0.0,0.19999999999999998,0.19999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19999999999999998,0.19999999999999998,0.0,0.0,0.0,TopK_pred_predtop_test
