input_window,output_window,model_family,model_name,preprocessing,mae_train,mae_val,mae_test,rank_test_by_window,rank_val_by_window,best_val_mae,best_epoch,epochs_trained,n_params,lr,batch_size,elapsed_sec,source_file,model_path,notes
10,1,baseline,Regresión lineal,log_returns,0.0115026006367362,0.01189505768524,0.012609980404435,7.0,6.0,,,,5313.0,,,,regresion_lineal_resultados.csv,,
10,1,baseline,Buy and Hold,prices,0.0163129570912964,0.016666415397922,0.0178503584462713,8.0,8.0,,,,,,,,buy_and_hold_resultados.csv,,
10,5,mlp,MLP,log_returns,0.0053040877149198,0.0052759429336213,0.0056140459862426,1.0,6.0,,,16.0,4087.0,,,,mlp_resultados.csv,,
10,5,baseline,Regresión lineal,log_returns,0.0052951579238741,0.0053313100355944,0.0057129816730534,2.0,7.0,,,,5313.0,,,,regresion_lineal_resultados.csv,,
10,5,rnn,RNN,log_returns,0.0049483069879946,0.0050507616613369,0.0057597966068942,3.0,5.0,,,141.0,2951.0,,,,rnn_resultados.csv,,
10,5,cnn,CNN normal returns,log_returns,0.00427104,0.00464304,0.00611315,4.0,4.0,0.00464304,203.0,,,,,,cnn_comparison_fd_vs_normal.csv,,
10,5,competition_winner,mixto_biGRU_attention,mixed,,0.0042991144582629,0.0062698819674551,5.0,1.0,,,,77015.0,,,,matriz_competicion.csv,,
10,5,cnn,CNN,log_returns,0.00418769765618,0.0046229977692797,0.0065098190536428,6.0,2.0,,149.0,,11287.0,,,,results_cnn.csv,,
10,5,cnn,CNN FD,fractional_differentiation,0.00449453,0.00462464,0.00731709,7.0,3.0,0.00462464,260.0,,,,,,cnn_comparison_fd_vs_normal.csv,,
10,5,baseline,Buy and Hold,prices,0.0129297213736806,0.0130618253440564,0.013707730879927,8.0,8.0,,,,,,,,buy_and_hold_resultados.csv,,
10,30,mlp,MLP,log_returns,0.0021372742475446,0.0021050179977614,0.0023288652177164,1.0,6.0,,,18.0,4087.0,,,,mlp_resultados.csv,,
10,30,baseline,Regresión lineal,log_returns,0.0021365547928744,0.0021326478868156,0.0023568616233691,2.0,7.0,,,,5313.0,,,,regresion_lineal_resultados.csv,,
10,30,rnn,RNN,log_returns,0.0018963717898586,0.0019195412883942,0.002404257873892,3.0,5.0,,,204.0,2951.0,,,,rnn_resultados.csv,,
10,30,cnn,CNN normal returns,log_returns,0.00151185,0.00159119,0.00245823,4.0,4.0,0.00159119,278.0,,,,,,cnn_comparison_fd_vs_normal.csv,,
10,30,cnn,CNN,log_returns,0.0014405466731858,0.0015540762848761,0.0025997131500167,5.0,2.0,,326.0,,11287.0,,,,results_cnn.csv,,
10,30,competition_winner,mixto_biGRU_attention,mixed,,0.0012758973753079,0.002648043911904,6.0,1.0,,,,77015.0,,,,matriz_competicion.csv,,
10,30,cnn,CNN FD,fractional_differentiation,0.00154142,0.00156488,0.00309265,7.0,3.0,0.00156488,270.0,,,,,,cnn_comparison_fd_vs_normal.csv,,
10,30,baseline,Buy and Hold,prices,0.0118646830350985,0.0116328578444351,0.0125335973625309,8.0,8.0,,,,,,,,buy_and_hold_resultados.csv,,
10,90,mlp,MLP,log_returns,0.0012211454701236,0.00125587969457,0.0012714651553212,1.0,6.0,,,15.0,4087.0,,,,mlp_resultados.csv,,
10,90,baseline,Regresión lineal,log_returns,0.0012207041757246,0.0012722554029245,0.00128788571552,2.0,7.0,,,,5313.0,,,,regresion_lineal_resultados.csv,,
10,90,rnn,RNN,log_returns,0.0010569096213292,0.0010813540218726,0.0013327764179751,3.0,5.0,,,266.0,2951.0,,,,rnn_resultados.csv,,
10,90,cnn,CNN normal returns,log_returns,0.00083613,0.00087228,0.00137316,4.0,4.0,0.00087228,195.0,,,,,,cnn_comparison_fd_vs_normal.csv,,
10,90,competition_winner,mixto_biGRU_attention,mixed,,0.0006512963445857,0.0014588608173653,5.0,1.0,,,,77015.0,,,,matriz_competicion.csv,,
10,90,cnn,CNN,log_returns,0.0007658396109563,0.0008427388372717,0.0014622014420605,6.0,3.0,,390.0,,11287.0,,,,results_cnn.csv,,
10,90,cnn,CNN FD,fractional_differentiation,0.00075892,0.00078636,0.00175177,7.0,2.0,0.00078636,309.0,,,,,,cnn_comparison_fd_vs_normal.csv,,
10,90,baseline,Buy and Hold,prices,0.0116787332103216,0.0116177062461172,0.0122260139688162,8.0,8.0,,,,,,,,buy_and_hold_resultados.csv,,
30,1,cnn,CNN FD,fractional_differentiation,0.01180934,0.01212616,0.0112545,1.0,6.0,0.01212616,3.0,,,,,,cnn_comparison_fd_vs_normal.csv,,
30,1,competition_winner,mixto_multibranch,mixed,,0.0115413200110197,0.0122998096048831,2.0,1.0,,,,45463.0,,,,matriz_competicion.csv,,
30,1,rnn,RNN,log_returns,0.0115292390687367,0.011554026845676,0.0123018309030074,3.0,2.0,,,20.0,1231.0,,,,rnn_resultados.csv,,
30,1,cnn,CNN normal returns,log_returns,0.01154617,0.01155971,0.01230243,4.0,3.0,0.01155971,152.0,,,,,,cnn_comparison_fd_vs_normal.csv,,
30,1,cnn,CNN,log_returns,0.0115458761549228,0.0115609125549881,0.0123048021501878,5.0,4.0,,18.0,,1095.0,,,,results_cnn.csv,,
30,1,mlp,MLP,log_returns,0.0114688299265373,0.0115847984089502,0.0123421472585349,6.0,5.0,,,14.0,2879.0,,,,mlp_resultados.csv,,
30,1,baseline,Regresión lineal,log_returns,0.0113940394410427,0.0121684627197283,0.0129738582275533,7.0,7.0,,,,15893.0,,,,regresion_lineal_resultados.csv,,
30,1,baseline,Buy and Hold,prices,0.0163303810248323,0.0165489893863374,0.0178560159028428,8.0,8.0,,,,,,,,buy_and_hold_resultados.csv,,
30,5,cnn,CNN FD,fractional_differentiation,0.00495062,0.00511642,0.00536418,1.0,3.0,0.00511642,275.0,,,,,,cnn_comparison_fd_vs_normal.csv,,
30,5,cnn,CNN normal returns,log_returns,0.00534091,0.00529119,0.00560292,2.0,6.0,0.00529119,142.0,,,,,,cnn_comparison_fd_vs_normal.csv,,
30,5,mlp,MLP,log_returns,0.0053062888491635,0.0052837504520531,0.0056109161396637,3.0,5.0,,,13.0,2879.0,,,,mlp_resultados.csv,,
