epoch,loss_train_norm,loss_val_norm,mae_train_real,mae_val_real
1,0.6944576501846313,0.6808756589889526,0.011575167410398768,0.011374423985162968
2,0.6921217441558838,0.6803330779075623,0.01156740277727065,0.011365759376789955
3,0.6915920376777649,0.6800482273101807,0.011563842985941994,0.011361607784281897
4,0.6913571357727051,0.6797603964805603,0.011560492372071872,0.011357326916267861
5,0.6911469101905823,0.6795803904533386,0.011557861438622207,0.011354708546785068
6,0.6909465789794922,0.6794838905334473,0.01155639336421659,0.011353305040437514
7,0.6908615231513977,0.6794062256813049,0.01155563954558568,0.011352130066341181
8,0.6908150315284729,0.6793562769889832,0.011555183885473058,0.011351381315120857
9,0.6907879710197449,0.6793318390846252,0.011555015554111567,0.011351007184185252
10,0.6907737851142883,0.6793198585510254,0.011554976683654669,0.011350832350701815
11,0.690758228302002,0.6793147325515747,0.011554958963864949,0.011350748819695089
12,0.6907573938369751,0.6793157458305359,0.011554924092405765,0.011350766858442572
13,0.6907587051391602,0.6793158650398254,0.011554927762078298,0.011350771902283759
14,0.6907544732093811,0.6793123483657837,0.011554899216652464,0.011350711014942377
15,0.6907529830932617,0.6793102622032166,0.011554897099248371,0.011350679857016264
16,0.6907526254653931,0.6793120503425598,0.011554825757714986,0.01135070853817464
17,0.690753161907196,0.6793087124824524,0.011554803267680878,0.011350652137866355
18,0.6907556653022766,0.6793083548545837,0.01155476587976165,0.011350653928513069
19,0.6907504796981812,0.6793011426925659,0.011554806365090901,0.011350523083326547
20,0.6907413601875305,0.6793116331100464,0.01155466049127144,0.011350712464119757
21,0.6907466650009155,0.6793107986450195,0.011554615123502102,0.011350697529995249
22,0.6907421946525574,0.6793096661567688,0.01155452676422092,0.011350676797523941
23,0.6907291412353516,0.6793087720870972,0.011554435830813824,0.01135066080104076
24,0.6907317638397217,0.6793172359466553,0.011554125648135393,0.011350790654739085
25,0.6907276511192322,0.6793056130409241,0.011554214223557268,0.011350608382255312
26,0.6907324194908142,0.6793150305747986,0.011554004643884805,0.011350766074403633
27,0.690707266330719,0.6793277263641357,0.011553695264223762,0.011350972237749177
28,0.6907178163528442,0.6793065667152405,0.01155377719606492,0.011350614754096105
29,0.6906789541244507,0.6793345808982849,0.011553304709211896,0.01135106744590977
30,0.6906905174255371,0.6793220639228821,0.011553166146125896,0.011350859351365298
31,0.6906728744506836,0.6793341636657715,0.01155288059025803,0.01135107244264101
32,0.6906530261039734,0.6793367266654968,0.011552615766028814,0.011351115854269138
33,0.6906528472900391,0.679326593875885,0.01155244542031059,0.011350959613061411
34,0.6906250715255737,0.6793650984764099,0.011551910200683059,0.011351603369526779
35,0.6906267404556274,0.6793627142906189,0.01155158284030713,0.011351582261703392
