strategy,none,top_val,top_test,ensemble
EW,0.17831966070810923,,,
MinVar,0.15237191609596867,,,
MaxSharpe_hist,0.20397715848661435,,,
TopK_pred,,0.0875969420853997,0.2569621145960683,0.17957518230543967
Momentum_tilt_pred,,0.14653036762103322,0.15280794348714832,0.12570440218789525
BlackLitterman_pred,,0.13942151253415425,0.21789699768062687,0.2055666200647719
