strategy,none,top_val,top_test,ensemble
EW,-0.1113213448226541,,,
MinVar,-0.10938683340671895,,,
MaxSharpe_hist,-0.0954486514579217,,,
TopK_pred,,-0.17457926733544793,-0.1664320618572429,-0.14862746178648012
Momentum_tilt_pred,,-0.11534675061915922,-0.09717240650802184,-0.11617315333137712
BlackLitterman_pred,,-0.11243130067650808,-0.11615993319431916,-0.13824250727000853
