variante,model_name,input_window,output_window,n_params,mae_train,mae_val,mae_test,epochs_entrenadas,learning_rate,batch_size,loss_final,val_loss_final,model_path,timestamp
convLSTM_causal,mixto_convLSTM_causal_in5_out90,5,90,13975,0.0009612520807422,0.001106729498133,0.0013921710196882,112,0.001,128,0.5985708832740784,0.6783465147018433,C:/Users/ALBER/Desktop/Instituto BME/Assigments BME/Modulo 3/ML final/models/mixto_convLSTM_causal_in5_out90.keras,2026-05-18T02:15:20
convLSTM_causal,mixto_convLSTM_causal_in10_out1,10,1,15735,0.0115141468122601,0.0116647770628333,0.012302802875638,20,0.0005,128,0.673134982585907,0.7086207866668701,C:/Users/ALBER/Desktop/Instituto BME/Assigments BME/Modulo 3/ML final/models/mixto_convLSTM_causal_in10_out1.keras,2026-05-18T02:15:55
convLSTM_causal,mixto_convLSTM_causal_in10_out5,10,5,15735,0.0042184921912848,0.0045926794409751,0.0063183540478348,92,0.001,128,0.5710579752922058,0.6178608536720276,C:/Users/ALBER/Desktop/Instituto BME/Assigments BME/Modulo 3/ML final/models/mixto_convLSTM_causal_in10_out5.keras,2026-05-18T02:18:00
convLSTM_causal,mixto_convLSTM_causal_in10_out30,10,30,15735,0.0015093934489414,0.0016397167928516,0.002592097967863,162,0.001,128,0.5312099456787109,0.5612369179725647,C:/Users/ALBER/Desktop/Instituto BME/Assigments BME/Modulo 3/ML final/models/mixto_convLSTM_causal_in10_out30.keras,2026-05-18T02:19:41
convLSTM_causal,mixto_convLSTM_causal_in10_out90,10,90,15735,0.0007982566021382,0.0008868554723449,0.0014090833719819,174,0.001,128,0.5035429000854492,0.5394648313522339,C:/Users/ALBER/Desktop/Instituto BME/Assigments BME/Modulo 3/ML final/models/mixto_convLSTM_causal_in10_out90.keras,2026-05-18T02:21:44
convLSTM_causal,mixto_convLSTM_causal_in30_out1,30,1,56023,0.0115111544728279,0.0115641579031944,0.0123102962970733,17,0.0005,64,0.6360383033752441,0.7115640044212341,C:/Users/ALBER/Desktop/Instituto BME/Assigments BME/Modulo 3/ML final/models/mixto_convLSTM_causal_in30_out1.keras,2026-05-18T02:22:34
convLSTM_causal,mixto_convLSTM_causal_in30_out5,30,5,56023,0.0032626644242554,0.0039713094010949,0.0066318167373538,184,0.001,64,0.46039479970932,0.5308863520622253,C:/Users/ALBER/Desktop/Instituto BME/Assigments BME/Modulo 3/ML final/models/mixto_convLSTM_causal_in30_out5.keras,2026-05-18T02:30:15
convLSTM_causal,mixto_convLSTM_causal_in30_out30,30,30,56023,0.0006489565130323,0.0007781645399518,0.0027338496875017,183,0.001,64,0.2893718481063843,0.2708012163639068,C:/Users/ALBER/Desktop/Instituto BME/Assigments BME/Modulo 3/ML final/models/mixto_convLSTM_causal_in30_out30.keras,2026-05-18T02:37:25
convLSTM_causal,mixto_convLSTM_causal_in30_out90,30,90,56023,0.0002770047576632,0.0003225920954719,0.0014600752620026,238,0.001,64,0.2434843331575393,0.1989557296037674,C:/Users/ALBER/Desktop/Instituto BME/Assigments BME/Modulo 3/ML final/models/mixto_convLSTM_causal_in30_out90.keras,2026-05-18T02:46:32
convLSTM_causal,mixto_convLSTM_causal_in90_out1,90,1,56023,0.0114515190944075,0.0115586789324879,0.0123316049575805,19,0.00025,32,0.645819365978241,0.711039125919342,C:/Users/ALBER/Desktop/Instituto BME/Assigments BME/Modulo 3/ML final/models/mixto_convLSTM_causal_in90_out1.keras,2026-05-18T02:48:55
convLSTM_causal,mixto_convLSTM_causal_in90_out5,90,5,56023,0.0031443482730537,0.0039539346471428,0.0067600538022816,217,0.0005,32,0.4495656192302704,0.5318425297737122,C:/Users/ALBER/Desktop/Instituto BME/Assigments BME/Modulo 3/ML final/models/mixto_convLSTM_causal_in90_out5.keras,2026-05-18T03:15:07
convLSTM_causal,mixto_convLSTM_causal_in90_out30,90,30,56023,0.0006127227679826,0.0007253317162394,0.0027530991937965,292,0.0005,32,0.2824747860431671,0.2540854811668396,C:/Users/ALBER/Desktop/Instituto BME/Assigments BME/Modulo 3/ML final/models/mixto_convLSTM_causal_in90_out30.keras,2026-05-18T03:46:52
convLSTM_causal,mixto_convLSTM_causal_in90_out90,90,90,56023,0.0002581999578978,0.0002930925984401,0.0014657083665952,185,0.0005,32,0.2377462834119796,0.1817274838685989,C:/Users/ALBER/Desktop/Instituto BME/Assigments BME/Modulo 3/ML final/models/mixto_convLSTM_causal_in90_out90.keras,2026-05-18T04:08:36
multibranch,mixto_multibranch_in5_out1,5,1,20823,0.0115501349791884,0.0114415315911173,0.0122960889711976,20,0.0005,128,0.6857806444168091,0.6842630505561829,C:/Users/ALBER/Desktop/Instituto BME/Assigments BME/Modulo 3/ML final/models/mixto_multibranch_in5_out1.keras,2026-05-18T04:08:45
multibranch,mixto_multibranch_in5_out5,5,5,20823,0.0044279340654611,0.0050642993301153,0.0060481973923742,65,0.001,128,0.6018988490104675,0.6801824569702148,C:/Users/ALBER/Desktop/Instituto BME/Assigments BME/Modulo 3/ML final/models/mixto_multibranch_in5_out5.keras,2026-05-18T04:09:08
multibranch,mixto_multibranch_in5_out30,5,30,20823,0.0016522653168067,0.0019106625113636,0.0025060272309929,90,0.001,128,0.5825343132019043,0.6579177379608154,C:/Users/ALBER/Desktop/Instituto BME/Assigments BME/Modulo 3/ML final/models/mixto_multibranch_in5_out30.keras,2026-05-18T04:09:40
multibranch,mixto_multibranch_in5_out90,5,90,20823,0.0009230133728124,0.0011086198501288,0.0013894235016778,94,0.001,128,0.5796833634376526,0.6809479594230652,C:/Users/ALBER/Desktop/Instituto BME/Assigments BME/Modulo 3/ML final/models/mixto_multibranch_in5_out90.keras,2026-05-18T04:10:13
multibranch,mixto_multibranch_in10_out1,10,1,28055,0.0114816194400191,0.0116472765803337,0.0122879762202501,35,0.0005,128,0.6835691928863525,0.700084388256073,C:/Users/ALBER/Desktop/Instituto BME/Assigments BME/Modulo 3/ML final/models/mixto_multibranch_in10_out1.keras,2026-05-18T04:10:31
multibranch,mixto_multibranch_in10_out5,10,5,28055,0.0039313845336437,0.0044706491753458,0.0062015568837523,160,0.001,128,0.5436970591545105,0.6004677414894104,C:/Users/ALBER/Desktop/Instituto BME/Assigments BME/Modulo 3/ML final/models/mixto_multibranch_in10_out5.keras,2026-05-18T04:11:41
