experiment_name,input_window,output_window,conv_filters,n_conv_layers,kernel_size,dropout_rate,dense_units,learning_rate,epochs,batch_size,n_params,best_epoch,best_val_mae_real,final_val_mae_real,train_mae_real,val_mae_real,test_mae_real
cnn_1layers_k2_do01,90,1,[16],1,2,0.1,10,0.0001,200,64,1175,193,0.011461675484203513,0.01146174584642689,0.01155690802687991,0.011461675484203517,0.012311155113495514
cnn_3layers_k2_do02_dense24,90,1,"[16, 32, 64]",3,2,0.2,24,0.0001,200,64,8103,193,0.01146225953332945,0.011462277942939516,0.01155873762734351,0.011462259533329456,0.012311208424305975
cnn_3layers_k2_do01,90,1,"[16, 32, 64]",3,2,0.1,16,0.0001,200,64,7399,133,0.011462263676344803,0.011462275560425778,0.01155873416734741,0.011462263676344805,0.012311196417168949
cnn_3layers_k2_do02_dense16,90,1,"[16, 32, 64]",3,2,0.2,16,0.0001,200,64,7399,156,0.011462266834280579,0.011462266896474636,0.011558734833762192,0.011462266834280586,0.012311201456567925
cnn_1layer_peq_k2_do00,90,1,[16],1,2,0.0,4,0.0001,200,64,935,30,0.011463061022978985,0.011465058101609355,0.011558719582256882,0.011463064242411556,0.012311027809811468
cnn_1layers_k2_do00,90,1,[16],1,2,0.0,8,0.0001,200,64,1095,138,0.011466108440550989,0.01146730092916544,0.011553026259445704,0.011466108440550989,0.012310733706240121
