epoch,loss,sparse_categorical_accuracy,val_loss,val_sparse_categorical_accuracy,learning_rate
1,1.0987672805786133,0.3412649631500244,1.090835452079773,0.43418455123901367,0.0010000000474974513
2,1.0976521968841553,0.36000776290893555,1.082167387008667,0.44479990005493164,0.0010000000474974513
3,1.0969382524490356,0.3758852183818817,1.0889060497283936,0.42658931016921997,0.0010000000474974513
4,1.0958828926086426,0.38501250743865967,1.0987147092819214,0.3267148733139038,0.0010000000474974513
5,1.0943742990493774,0.3774974048137665,1.1091209650039673,0.2951677441596985,0.0010000000474974513
6,1.0927835702896118,0.38096415996551514,1.1164103746414185,0.28518033027648926,0.0010000000474974513
7,1.0913130044937134,0.38628533482551575,1.1212983131408691,0.283027321100235,0.0010000000474974513
8,1.0897024869918823,0.38617250323295593,1.123806357383728,0.27623945474624634,0.0010000000474974513
9,1.0877830982208252,0.38709643483161926,1.1227818727493286,0.2889779210090637,0.0010000000474974513
10,1.0854871273040771,0.3901742994785309,1.1288104057312012,0.2819807231426239,0.0010000000474974513
11,1.0823262929916382,0.39361104369163513,1.1411610841751099,0.2727408707141876,0.0010000000474974513
12,1.0795283317565918,0.396761953830719,1.148361325263977,0.2559356391429901,0.0010000000474974513
13,1.0767158269882202,0.39822110533714294,1.0946900844573975,0.3454638123512268,0.0005000000237487257
14,1.0733239650726318,0.40245911478996277,1.0975196361541748,0.3404102623462677,0.0005000000237487257
15,1.0700753927230835,0.4058988690376282,1.0978584289550781,0.3364332318305969,0.0005000000237487257
16,1.0659226179122925,0.4070523977279663,1.0973114967346191,0.3358052372932434,0.0005000000237487257
17,1.0626829862594604,0.41019007563591003,1.0989583730697632,0.329376220703125,0.0005000000237487257
18,1.0594146251678467,0.4107682704925537,1.097084879875183,0.3334429860115051,0.0005000000237487257
19,1.0553104877471924,0.4125731289386749,1.0956450700759888,0.33511751890182495,0.0005000000237487257
20,1.052579641342163,0.41284236311912537,1.097743034362793,0.3275521695613861,0.0005000000237487257
21,1.0490282773971558,0.41500958800315857,1.100230097770691,0.3212427496910095,0.0005000000237487257
22,1.046012282371521,0.4178646206855774,1.0955955982208252,0.3325458765029907,0.0005000000237487257
23,1.0439077615737915,0.4145541489124298,1.0851624011993408,0.3504275679588318,0.0002500000118743628
24,1.0419211387634277,0.41969600319862366,1.08721125125885,0.3426229953765869,0.0002500000118743628
25,1.0405339002609253,0.4184330701828003,1.0911955833435059,0.33517733216285706,0.0002500000118743628
26,1.0385092496871948,0.4188716411590576,1.0920723676681519,0.3335924744606018,0.0002500000118743628
27,1.0376428365707397,0.4193269610404968,1.0906327962875366,0.33499792218208313,0.0002500000118743628
28,1.0362589359283447,0.4205766022205353,1.0900856256484985,0.33562585711479187,0.0002500000118743628
29,1.0344438552856445,0.42111867666244507,1.0934512615203857,0.33129000663757324,0.0002500000118743628
30,1.0343940258026123,0.42196935415267944,1.0903773307800293,0.3392440378665924,0.0002500000118743628
31,1.0329335927963257,0.4234551787376404,1.0945544242858887,0.331917941570282,0.0002500000118743628
32,1.0314053297042847,0.4245985150337219,1.0974982976913452,0.3285987675189972,0.0002500000118743628
