experiment_name,input_window,output_window,conv_filters,n_conv_layers,kernel_size,dropout_rate,dense_units,learning_rate,epochs,batch_size,n_params,best_epoch,best_val_mae_real,final_val_mae_real,train_mae_real,val_mae_real,test_mae_real
cnn_3layers_k2_do02_dense16,5,1,"[16, 32, 64]",3,2,0.2,16,0.0001,200,64,7399,55,0.011350036306957575,0.011439423900182495,0.01154071665108002,0.011350036306957577,0.0122875626914778
cnn_3layers_k2_do02_dense24,5,1,"[16, 32, 64]",3,2,0.2,24,0.0001,200,64,8103,36,0.01135025108692053,0.01141063563348588,0.011554763354689902,0.01135025108692053,0.012283137921434317
cnn_3layers_k2_do01,5,1,"[16, 32, 64]",3,2,0.1,16,0.0001,200,64,7399,33,0.011350254408881417,0.011435449166848686,0.011553756192105467,0.011350254408881415,0.012282889358385965
cnn_1layers_k2_do01,5,1,[16],1,2,0.1,10,0.0001,200,64,1175,46,0.01135046582426936,0.011371474454934177,0.011553580626083982,0.011350465824269358,0.012282827344382007
cnn_1layer_peq_k2_do00,5,1,[16],1,2,0.0,4,0.0001,200,64,935,27,0.011351360569305632,0.011373801889817195,0.011554064189704234,0.01135136056930563,0.01228335159243769
cnn_1layers_k2_do00,5,1,[16],1,2,0.0,8,0.0001,200,64,1095,62,0.011351487970520241,0.011369474531732192,0.011546479873869751,0.011351487970520243,0.01228512966528904
